Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Anna-Karin,Stenberg,Trädgårdstorget 104,Lidköping,56349,Sverige,SE,19470206-7797,46,+46 (0)342 734 94,1947-02-06,True
Claes,Persson,Åkervägen 5,Halmstad,89480,Sverige,SE,19920711-7893,46,+46 (0)00 75 36 29,1992-07-11,True
Roger,Olofsson,Parkvägen 17,Örnsköldsvik,30725,Sverige,SE,19490715-6452,46,08-76 34 48,1949-07-15,True
Veronica,Andersson,Åkergatan 36,Malmö,21194,Sverige,SE,19590903-0842,46,08-641 214 15,1959-09-03,True
Linnéa,Näslund,Granvägen 98,Östersund,73301,Sverige,SE,19420217-2228,46,+46 (0)8 013 491 75,1942-02-17,True
Eric,Blomberg,Kvarnvägen 2,Göteborg,33196,Sverige,SE,19870816-7380,46,+46 (0)059 426 34,1987-08-16,True
Tore,Pettersson,Grantorget 99,Växjö,21070,Sverige,SE,19630413-6368,46,+46 (0)165 239 92,1963-04-13,True
Lennart,Lindgren,Backstigen 34,Skellefteå,50962,Sverige,SE,19921028-7021,46,073-594 12 40,1992-10-28,True
Anna,Eklund,Bäckgatan 370,Gävle,10843,Sverige,SE,19701218-9853,46,08-340 508 18,1970-12-18,True
Einar,Olsson,Storstigen 4,Skövde,86564,Sverige,SE,19810422-2975,46,0935-83 62 37,1981-04-22,True
Vilhelmina,Jonasson,Strandtorget 72,Uddevalla,99858,Sverige,SE,19490329-3546,46,088-59 66 02,1949-03-29,True
Viktoria,Pettersson,Järnvägsvägen 17,Stockholm,21550,Sverige,SE,19560526-0774,46,+46 (0)8 677 060 53,1956-05-26,True
Susanne,Andersson,Gentorget 89,Sandviken,24208,Sverige,SE,19700904-9433,46,051-96 96 82,1970-09-04,True
Jan,Larsson,Kyrkotorget 17,Eskilstuna,49811,Sverige,SE,19860104-9818,46,0273-798 60,1986-01-04,True
Jacob,Nilsson,Järnvägsvägen 4,Mölndal,39462,Sverige,SE,19670130-3713,46,+46 (0)001 385 30,1967-01-30,True
Klas,Lindgren,Skogsgatan 75,Karlstad,84643,Sverige,SE,19740902-4200,46,08-55 94 98,1974-09-02,True
Olle,Jansson,Skolgatan 986,Växjö,73464,Sverige,SE,19520927-1454,46,08-804 29 43,1952-09-27,True
André,Holmberg,Kvarngatan 61,Halmstad,79773,Sverige,SE,19691116-9425,46,0795-22 89 64,1969-11-16,True
Peter,Carlsson,Grangatan 203,Helsingborg,98860,Sverige,SE,19980804-7675,46,08-818 47 96,1998-08-04,True
Kenneth,Bengtsson,Ängsgatan 174,Karlstad,90133,Sverige,SE,19671025-1659,46,+46 (0)8 916 193 68,1967-10-25,True
Britt,Svensson,Åkertorget 0,Alingsås,39562,Sverige,SE,19850516-7379,46,08-706 206 49,1985-05-16,True
Marie,Sundin,Kyrkovägen 55,Varberg,95912,Sverige,SE,19700601-4897,46,+46 (0)03 55 05 36,1970-06-01,True
Kajsa,Berg,Furustigen 54,Helsingborg,38908,Sverige,SE,19971116-4694,46,08-240 31 86,1997-11-16,True
Helge,Johansson,Industrivägen 705,Uppsala,17509,Sverige,SE,19650806-9259,46,08-86 73 60,1965-08-06,True
Christoffer,Johansson,Storgatan 19,Falun,50921,Sverige,SE,19660913-9001,46,021-47 66 87,1966-09-13,True
Catarina,Sundberg,Parkvägen 24,Helsingborg,59934,Sverige,SE,19920118-4014,46,+46 (0)8 138 568 04,1992-01-18,True
Jan,Andersson,Järnvägsstigen 806,Alingsås,32411,Sverige,SE,19960318-7879,46,029-638 71 17,1996-03-18,True
Per,Blom,Backgatan 9,Luleå,97872,Sverige,SE,19730204-7269,46,0870-341 20,1973-02-04,True
Margareta,Gustafsson,Järnvägsvägen 99,Östersund,78199,Sverige,SE,19990523-8601,46,+46 (0)711 674 23,1999-05-23,True
Erik,Norberg,Storstigen 8,Helsingborg,23173,Sverige,SE,19500929-2598,46,+46 (0)296 731 58,1950-09-29,True
Elisabeth,Gustavsson,Ringgatan 8,Karlskrona,70784,Sverige,SE,19770911-2972,46,092-73 23 86,1977-09-11,True
Göran,Lundberg,Storgatan 13,Stockholm,35275,Sverige,SE,19701215-4584,46,+46 (0)8 469 089 13,1970-12-15,True
Birgitta,Olsson,Trädgårdsvägen 9,Trollhättan,13245,Sverige,SE,19700217-0222,46,08-451 536 36,1970-02-17,True
Jessica,Karlsson,Gengatan 5,Göteborg,50317,Sverige,SE,19890901-5643,46,+46 (0)900 958 24,1989-09-01,True
Leif,Johansson,Fabriksvägen 7,Växjö,68527,Sverige,SE,19660202-3997,46,+46 (0)8 997 982 25,1966-02-02,True
Carina,Falk,Grangatan 4,Kalmar,85230,Sverige,SE,19820820-7115,46,08-800 273 04,1982-08-20,True
Anna,Andersson,Stortorget 085,Borlänge,57888,Sverige,SE,19650120-8102,46,0957-668 47,1965-01-20,True
Erik,Aronsson,Furugränd 41,Uddevalla,95934,Sverige,SE,19400922-8698,46,+46 (0)8 735 790 37,1940-09-22,True
Rickard,Lindholm,Ringstigen 765,Jönköping,39142,Sverige,SE,19830518-8703,46,0990-464 07,1983-05-18,True
Martin,Dahlgren,Furugatan 712,Motala,10773,Sverige,SE,19730401-6636,46,067-002 09 67,1973-04-01,True
Maria,Jakobsson,Ekgatan 64,Ängelholm,79907,Sverige,SE,19720206-3866,46,044-487 45 25,1972-02-06,True
Johanna,Karlsson,Ängsgränd 24,Skövde,14091,Sverige,SE,19510114-8090,46,08-145 543 18,1951-01-14,True
Ingvar,Olsson,Kyrkogatan 933,Skövde,98965,Sverige,SE,19420402-1245,46,+46 (0)245 962 20,1942-04-02,True
Alice,Andersson,Idrottstorget 091,Piteå,39606,Sverige,SE,19530214-7180,46,08-365 303 24,1953-02-14,True
Sigrid,Isaksson,Fabriksgatan 4,Karlstad,81285,Sverige,SE,19720512-6107,46,098-28 94 12,1972-05-12,True
Matilda,Samuelsson,Ringvägen 05,Sundsvall,41815,Sverige,SE,19631106-3748,46,064-473 62 97,1963-11-06,True
Gunvor,Vikström,Åkerstigen 804,Växjö,30654,Sverige,SE,19531110-8741,46,+46 (0)592 269 61,1953-11-10,True
Bengt,Eriksson,Grangatan 8,Lidköping,43716,Sverige,SE,19740102-1253,46,0635-577 99,1974-01-02,True
Agneta,Gustavsson,Parkvägen 196,Östersund,45136,Sverige,SE,19500202-3598,46,+46 (0)95 07 05 30,1950-02-02,True
Irma,Boström,Genstigen 044,Malmö,36065,Sverige,SE,19640827-4342,46,076-15 88 18,1964-08-27,True
Amanda,Jakobsson,Parkgränd 4,Piteå,79578,Sverige,SE,20000626-9247,46,+46 (0)8 901 682 05,2000-06-26,True
Carl,Larsson,Ringvägen 628,Linköping,18612,Sverige,SE,19940409-4009,46,+46 (0)659 416 31,1994-04-09,True
Karl,Pettersson,Parkgatan 768,Umeå,21368,Sverige,SE,19830905-4343,46,018-542 45 20,1983-09-05,True
Anna,Gustavsson,Ringtorget 21,Piteå,63867,Sverige,SE,19931226-6494,46,0811-197 93,1993-12-26,True
Margareta,Jonsson,Strandgatan 92,Helsingborg,65998,Sverige,SE,19941214-1080,46,+46 (0)751 996 17,1994-12-14,True
Leif,Jansson,Storvägen 5,Alingsås,80240,Sverige,SE,19960813-9625,46,08-605 238 20,1996-08-13,True
Camilla,Adolfsson,Storgränd 695,Skellefteå,37064,Sverige,SE,19600308-0993,46,+46 (0)78 50 17 74,1960-03-08,True
Rolf,Wallin,Industrigränd 5,Mölndal,31704,Sverige,SE,19700202-0117,46,0708-22 95 04,1970-02-02,True
Rune,Fredriksson,Industrigatan 843,Lidköping,63918,Sverige,SE,19711218-9258,46,08-19 26 27,1971-12-18,True
Cecilia,Svensson,Idrottsgatan 98,Gävle,82306,Sverige,SE,19490916-8722,46,+46 (0)150 698 11,1949-09-16,True
Inge,Ekström,Strandtorget 376,Östersund,20146,Sverige,SE,19830528-6126,46,+46 (0)8 113 882 91,1983-05-28,True
Margareta,Andersson,Ringgatan 413,Linköping,52111,Sverige,SE,19490104-0226,46,0986-182 34,1949-01-04,True
Anna,Petersson,Ängsvägen 82,Lund,10561,Sverige,SE,19640828-2758,46,0402-42 88 34,1964-08-28,True
Lena,Larsson,Skogsstigen 6,Umeå,35935,Sverige,SE,19421127-5833,46,+46 (0)180 958 81,1942-11-27,True
Emanuel,Johansson,Industristigen 208,Borås,46444,Sverige,SE,20000125-7571,46,+46 (0)8 036 961 21,2000-01-25,True
Magnus,Gustafsson,Villavägen 814,Borlänge,76085,Sverige,SE,19961125-2617,46,+46 (0)566 375 94,1996-11-25,True
Aina,Nilsson,Industritorget 914,Sandviken,35322,Sverige,SE,19441029-5751,46,0013-66 63 05,1944-10-29,True
Gerd,Öhman,Parkstigen 2,Landskrona,88808,Sverige,SE,19640404-3338,46,+46 (0)22 87 72 22,1964-04-04,True
Berit,Erlandsson,Stationsvägen 5,Uddevalla,10339,Sverige,SE,19600402-0619,46,008-40 04 01,1960-04-02,True
Ulla,Dahlgren,Idrottsgränd 7,Alingsås,34614,Sverige,SE,19960527-6671,46,0052-092 08,1996-05-27,True
Margaretha,Blomberg,Idrottsstigen 0,Lidköping,48248,Sverige,SE,19610123-1611,46,+46 (0)8 479 424 42,1961-01-23,True
Fredrik,Andersson,Granvägen 2,Trelleborg,74483,Sverige,SE,19680126-8068,46,0481-277 02,1968-01-26,True
Ingvar,Moberg,Genstigen 6,Stockholm,77498,Sverige,SE,19531014-6047,46,+46 (0)72 52 93 58,1953-10-14,True
Maria,Moberg,Industritorget 1,Skellefteå,64448,Sverige,SE,19530130-7009,46,08-720 43 61,1953-01-30,True
Barbro,Lindberg,Åkergatan 128,Malmö,24443,Sverige,SE,19800209-9834,46,08-220 46 66,1980-02-09,True
Erik,Karlsson,Järnvägsgränd 51,Helsingborg,45339,Sverige,SE,19970426-8782,46,093-42 03 80,1997-04-26,True
Hans,Olsson,Järnvägsgatan 2,Skövde,49654,Sverige,SE,19490319-1200,46,+46 (0)94 44 16 36,1949-03-19,True
Carl,Persson,Industristigen 93,Karlskoga,40873,Sverige,SE,19700720-6116,46,0296-231 98,1970-07-20,True
Kurt,Johansson,Aspvägen 22,Karlskoga,60620,Sverige,SE,19921222-0647,46,033-72 01 87,1992-12-22,True
Maria,Johnsson,Bäckstigen 119,Östersund,56395,Sverige,SE,19410625-5714,46,0756-80 74 14,1941-06-25,True
Henrik,Klasson,Villagatan 83,Helsingborg,50819,Sverige,SE,19470424-4892,46,0309-78 82 72,1947-04-24,True
Jan,Pettersson,Skolgränd 465,Lidingö,69765,Sverige,SE,20000527-2452,46,020-356 39 41,2000-05-27,True
Stefan,Falk,Villavägen 67,Karlstad,49291,Sverige,SE,19500716-4691,46,08-20 21 33,1950-07-16,True
Camilla,Johansson,Stationsgatan 58,Lund,68768,Sverige,SE,19860215-1862,46,+46 (0)382 828 64,1986-02-15,True
Maria,Bengtsson,Stationsgatan 06,Mölndal,77226,Sverige,SE,19450724-2896,46,08-60 92 62,1945-07-24,True
Maria,Nguyen,Johannessentoppen 07,Toregrunn,8318,Sverige,NO,19910624-2393,47,94295800,1991-06-24,True
Urban,Svensson,Backstigen 493,Östersund,94910,Sverige,SE,19500221-0870,46,08-557 28 64,1950-02-21,True
Björn,Lindkvist,Parkvägen 755,Kristianstad,87368,Sverige,SE,19821115-4391,46,08-607 57 58,1982-11-15,True
Margareta,Holm,Industrivägen 89,Växjö,87717,Sverige,SE,19881203-7466,46,+46 (0)8 130 011 47,1988-12-03,True
Arne,Forsberg,Parktorget 69,Landskrona,67957,Sverige,SE,20000117-3546,46,08-60 29 98,2000-01-17,True
Marie,Jonsson,Storgatan 07,Trelleborg,54446,Sverige,SE,19580205-0545,46,0436-987 78,1958-02-05,True
Ida,Norén,Kvarngränd 09,Norrköping,33935,Sverige,SE,19661231-2664,46,043-138 07 61,1966-12-31,True
Erik,Petersson,Villagatan 835,Falun,61146,Sverige,SE,19970411-2558,46,0437-21 94 36,1997-04-11,True
Jenny,Jansson,Åkerstigen 2,Uddevalla,36629,Sverige,SE,19900625-9868,46,+46 (0)506 844 06,1990-06-25,True
Birger,Olsson,Gengatan 2,Ängelholm,64512,Sverige,SE,19730616-6069,46,+46 (0)47 63 46 70,1973-06-16,True
Elisabet,Karlsson,Nytorget 169,Linköping,81661,Sverige,SE,19560916-3969,46,051-51 65 16,1956-09-16,True
Margaretha,Larsson,Järnvägsgatan 547,Södertälje,24795,Sverige,SE,19910914-9111,46,002-93 61 13,1991-09-14,True
Lena,Johnsson,Skolstigen 651,Motala,42161,Sverige,SE,19880206-4265,46,+46 (0)67 02 92 83,1988-02-06,True
Jessica,Andersson,Ängsvägen 576,Göteborg,15175,Sverige,SE,19990409-3602,46,063-36 22 36,1999-04-09,True
Lilly,Hansson,Industrigatan 48,Nyköping,87678,Sverige,SE,19650512-5244,46,0647-23 72 36,1965-05-12,True
Kristina,Larsson,Strandgatan 30,Örnsköldsvik,34518,Sverige,SE,19671201-6602,46,0414-11 69 19,1967-12-01,True
Lars,Blom,Skolgatan 11,Eskilstuna,75811,Sverige,SE,19680523-8845,46,08-216 39 70,1968-05-23,True
Ingrid,Eriksson,Parkvägen 982,Gävle,18743,Sverige,SE,19631110-2909,46,053-334 43 65,1963-11-10,True
Anders,Andersson,Aspstigen 93,Växjö,11785,Sverige,SE,19660106-6023,46,+46 (0)54 39 84 14,1966-01-06,True
Kenneth,Gunnarsson,Järnvägsgatan 10,Nyköping,25589,Sverige,SE,19400526-8968,46,0661-748 29,1940-05-26,True
Anna,Andersson,Grantorget 0,Trollhättan,32755,Sverige,SE,19421229-3193,46,049-48 39 56,1942-12-29,True
Katarina,Persson,Trädgårdsstigen 96,Motala,12009,Sverige,SE,19500509-1904,46,08-967 58 78,1950-05-09,True
Göran,Larsson,Trädgårdsgränd 6,Trollhättan,61892,Sverige,SE,19850524-5419,46,08-331 96 21,1985-05-24,True
Maria,Larsson,Industrigatan 26,Gävle,68007,Sverige,SE,19490810-5636,46,0713-456 51,1949-08-10,True
Per,Karlsson,Furugränd 54,Borås,81757,Sverige,SE,19830805-0979,46,041-23 18 27,1983-08-05,True
Ingemar,Olsson,Parkgränd 6,Motala,57454,Sverige,SE,19860903-8696,46,+46 (0)909 364 61,1986-09-03,True
Allan,Lindqvist,Trädgårdstorget 023,Kristianstad,27627,Sverige,SE,19710405-4685,46,+46 (0)357 232 21,1971-04-05,True
Anders,Nyman,Trädgårdsgatan 3,Falun,90113,Sverige,SE,19620712-5192,46,+46 (0)62 32 09 23,1962-07-12,True
Gerhard,Jonsson,Åkervägen 767,Örebro,78451,Sverige,SE,19760814-8592,46,081-37 90 40,1976-08-14,True
Hans,Palm,Åkergränd 797,Borlänge,72306,Sverige,SE,19431204-5346,46,08-628 633 07,1943-12-04,True
Eva,Karlsson,Ringgatan 64,Karlskrona,95717,Sverige,SE,19680203-2687,46,0642-037 16,1968-02-03,True
David,Johansson,Bäckgatan 0,Lidköping,76945,Sverige,SE,19890307-3814,46,0008-421 89,1989-03-07,True
Bo,Svensson,Industritorget 575,Borås,51333,Sverige,SE,19550529-2006,46,08-83 33 98,1955-05-29,True
Kristina,Eriksson,Fabrikstorget 916,Helsingborg,77658,Sverige,SE,20000409-3682,46,08-632 099 30,2000-04-09,True
Ann,Ivarsson,Nygränd 42,Borås,80570,Sverige,SE,19531009-8213,46,0849-25 87 56,1953-10-09,True
Elisabet,Magnusson,Parkvägen 8,Växjö,13215,Sverige,SE,19480611-1675,46,049-274 60 83,1948-06-11,True
Ingemar,Gustafsson,Kvarngatan 426,Lidköping,85934,Sverige,SE,19870319-2957,46,070-48 23 09,1987-03-19,True
Anna,Högberg,Björktorget 67,Falun,33720,Sverige,SE,19460713-0644,46,+46 (0)82 74 77 81,1946-07-13,True
Birgitta,Johansson,Åkergatan 17,Jönköping,24690,Sverige,SE,19791008-8538,46,084-70 82 30,1979-10-08,True
Anna,Nyberg,Skogsstigen 27,Landskrona,25442,Sverige,SE,19760906-5030,46,+46 (0)878 727 98,1976-09-06,True
Birgitta,Eriksson,Nygatan 58,Piteå,90692,Sverige,SE,19490911-0632,46,+46 (0)164 319 89,1949-09-11,True
Johanna,Persson,Furuvägen 272,Landskrona,68426,Sverige,SE,19471023-9900,46,0351-831 49,1947-10-23,True
Birger,Larsson,Industrivägen 33,Jönköping,96860,Sverige,SE,19861018-9750,46,+46 (0)30 29 88 03,1986-10-18,True
Anna,Klasson,Kvarnstigen 7,Lidingö,33285,Sverige,SE,19820705-0611,46,046-79 49 63,1982-07-05,True
Susanne,Bergström,Ekgränd 806,Sandviken,12318,Sverige,SE,19671006-2247,46,+46 (0)8 720 661 72,1967-10-06,True
John,Sjödin,Industristigen 10,Karlskrona,93971,Sverige,SE,19690822-6983,46,08-693 50 79,1969-08-22,True
Per,Johansson,Villagränd 266,Motala,94928,Sverige,SE,19700809-9107,46,08-61 51 07,1970-08-09,True
